=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2110757 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2112011 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2113265 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2114519 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2115773 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2117027 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2118281 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2119535 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2120789 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2122043 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2123297 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2124551 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2125805 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2127059 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2128313 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2129567 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2130821 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2132075 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2133329 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2134583 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2135837 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2137091 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2138345 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2139599 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2140853 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2142107 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2143361 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2144615 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2145869 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2147123 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2148377 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2149631 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2150885 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2152139 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2153393 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2154647 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2155901 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2157155 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2158409 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2159663 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2160917 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2162171 cnt=0000 reload=FB1A ctl=0080
CPU enter IRQ cyc=2163392 pc=00000348 cpsr=2000005F return=0000034C
TMR overflow t=0 cyc=2163425 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2164679 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2165933 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2167187 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2168441 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2169695 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2170949 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2172203 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2173457 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2174711 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2175965 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2177219 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2178473 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2179727 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2180981 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2182235 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2183489 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2184743 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2185997 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2187251 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2188505 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2189759 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2191013 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2192267 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2193521 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2194775 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2196029 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2197283 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2198537 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2199791 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2201045 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2202299 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2203553 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2204807 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2206061 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2207315 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2208569 cnt=0000 reload=FB1A ctl=0080
